"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C01","Value of Exports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","30867"
"TSA11C01","Value of Exports","2020","2020","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","2611"
"TSA11C01","Value of Exports","2020","2020","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","3194"
"TSA11C01","Value of Exports","2020","2020","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","2075"
"TSA11C01","Value of Exports","2020","2020","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","2228"
"TSA11C01","Value of Exports","2020","2020","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","10108"
"TSA11C01","Value of Exports","2020","2020","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","3498"
"TSA11C01","Value of Exports","2020","2020","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","1655"
"TSA11C01","Value of Exports","2020","2020","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","2608"
"TSA11C01","Value of Exports","2020","2020","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","935"
"TSA11C01","Value of Exports","2020","2020","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","50","Services/other (49-98)","-","All Enterprises","Euro Million","8696"
"TSA11C01","Value of Exports","2020","2020","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","99","Unknown","99","Unknown","Euro Million","5280"
"TSA11C01","Value of Exports","2020","2020","99","Unknown","-","All Enterprises","Euro Million","5280"
"TSA11C01","Value of Exports","2020","2020","-","All sectors","05","Micro (0 to 9)","Euro Million","7796"
"TSA11C01","Value of Exports","2020","2020","-","All sectors","01","Small (10 to 49)","Euro Million","6954"
"TSA11C01","Value of Exports","2020","2020","-","All sectors","02","Medium (50 to 249)","Euro Million","15985"
"TSA11C01","Value of Exports","2020","2020","-","All sectors","03","Large (250 or more)","Euro Million","121878"
"TSA11C01","Value of Exports","2020","2020","-","All sectors","99","Unknown","Euro Million","5280"
"TSA11C01","Value of Exports","2020","2020","-","All sectors","-","All Enterprises","Euro Million","157893"
"TSA11C01","Value of Exports","2021","2021","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","471"
"TSA11C01","Value of Exports","2021","2021","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","597"
"TSA11C01","Value of Exports","2021","2021","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","1830"
"TSA11C01","Value of Exports","2021","2021","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","11821"
"TSA11C01","Value of Exports","2021","2021","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","14719"
"TSA11C01","Value of Exports","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","171"
"TSA11C01","Value of Exports","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","374"
"TSA11C01","Value of Exports","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","3974"
"TSA11C01","Value of Exports","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","78755"
"TSA11C01","Value of Exports","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","83274"
"TSA11C01","Value of Exports","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","1360"
"TSA11C01","Value of Exports","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1757"
"TSA11C01","Value of Exports","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","5411"
"TSA11C01","Value of Exports","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","28727"
"TSA11C01","Value of Exports","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2021","2021","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","37256"
"TSA11C01","Value of Exports","2021","2021","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","3253"
